word,Length,Arousal.M,Arousal.SD,Arousal.N,Valence.M,Valence.SD,Valence.N,Dominance.M,Dominance.SD,Dominance.N,Concreteness.M,Concreteness.SD,Concreteness.N,Imageability.M,Imageability.SD,Imageability.N,Familiarity.M,Familiarity.SD,Familiarity.N,AoA.M,AoA.SD,AoA.N,Size.M,Size.SD,Size.N,Gender.M,Gender.SD,Gender.N
long (yearn),4,5.273,2.192,33,4.441,1.785,34,3.906,1.942,32,2.429,1.44,35,3.294,1.993,34,4.353,1.747,34,4.882,1.471,34,5.029,1.159,35,3.206,1.023,34
lumber (move slowly),6,2.441,1.355,34,3.382,1.058,34,3.515,1.438,33,4.091,1.747,33,4.912,1.805,34,4.088,2.092,34,5.727,1.136,33,3.849,1.459,33,4.882,0.932,34
lumber (wood),6,3.657,2.056,35,5.229,1.123,35,5.606,1.347,33,6.314,0.82,35,6.029,1.339,34,3.788,1.737,33,5.182,1.566,33,4.794,1.586,34,5.824,1.014,34
mad (angry),3,6.571,2.195,35,2.2,1.09,35,5.765,2.184,34,3.647,1.532,34,5,1.303,33,6,1.128,33,2.743,1.441,35,5.029,1.341,35,5.229,0.959,35
mad (crazy),3,6.029,2.629,34,3,1.393,33,4.273,2.136,33,2.906,1.958,32,4.529,1.898,34,6,1.27,31,3.229,1.017,35,4.706,1.425,34,4.118,1.051,34
magazine (ammunition),8,4.486,2.273,35,3.735,1.54,34,5.706,2.23,34,6.057,1.433,35,5.286,1.965,35,3.735,2.214,34,5.943,1.194,35,3.939,1.705,33,5.2,1.687,35
magazine (publication),8,4.735,1.899,34,5.677,1.23,34,5.353,1.473,34,6.441,0.735,34,6.294,1.044,34,6.152,1.077,33,3.455,1.208,33,3.735,1.521,34,3.177,1.2,34
mark (grade),4,5.143,2.344,35,5.941,1.434,34,5.4,2.369,35,5.029,1.562,34,5.029,1.636,34,6.242,1.156,33,4.086,1.079,35,4.667,1.57,33,4.029,1.2,34
mark (smudge),4,3.152,1.351,33,4.059,0.765,34,4.939,1.127,33,5.882,1.207,34,6.029,1.272,34,5.441,1.288,34,3.206,1.43,34,2.235,1.214,34,4.5,0.738,34
mask (cover),4,4.879,2.267,33,3.875,1.317,32,4.613,1.844,31,5.032,1.769,31,5.258,1.606,31,4.939,1.556,33,3.485,1.438,33,3.727,1.462,33,4.242,1.074,33
mask (face),4,4.206,1.86,34,4.618,1.329,34,4.879,1.966,33,5.941,1.371,34,5.794,1.346,34,5.394,1.774,33,2.849,0.783,33,3.212,1.273,33,3.909,1.19,33
mass (large number),4,4.375,2.027,32,5.424,1.181,33,5.364,1.997,33,4.182,1.817,33,4.061,2.117,33,5.875,1.218,32,4.882,1.278,34,6.394,1.153,33,4.735,1.313,34
mass (religious),4,2.765,1.664,34,4.471,1.803,34,3.343,2.028,35,4,1.94,34,4.559,1.735,34,4.029,1.978,34,4.686,1.894,35,5.088,1.597,34,3.971,0.91,35
mass (weight),4,4.353,2.154,34,4.735,1.379,34,5.324,1.548,34,4.636,1.806,33,3.765,1.646,34,5.618,1.435,34,5.529,1.311,34,5.412,1.478,34,4.588,1.141,34
match (fire),5,5.647,2.099,34,4.971,1.543,34,5.714,1.921,35,6.514,0.603,35,6.529,0.737,34,5.594,1.343,32,3.543,0.996,35,2.677,1.693,34,4.912,0.981,34
match (game),5,5.219,2.042,32,6.029,1.54,35,5.156,1.543,32,5.471,1.242,34,5.194,1.554,31,6.091,1.24,33,3.382,1.085,34,4.781,1.615,32,5.364,0.979,33
match (pairing),5,4.469,2.136,32,6.029,1.341,35,5.118,1.471,34,4.091,1.401,33,4.364,1.72,33,5.636,1.494,33,3.03,1.267,33,3.469,0.935,32,3.6,1.101,35
mate (copulate),4,7.129,1.755,31,6.559,1.376,34,6.152,1.654,33,5.364,1.648,33,5.406,1.765,32,4.677,2.101,31,5.485,1.395,33,4.794,1.389,34,4.735,1.22,34
mate (friend),4,6.147,1.987,34,7.706,1.226,34,6.235,2.073,34,5.727,1.332,33,5.909,1.525,33,6.226,1.43,31,3.588,1.458,34,4.546,1.258,33,5.471,1.091,34
mean (average),4,3,1.67,33,5.029,0.971,35,4.546,1.616,33,4.294,1.807,34,2.943,1.638,35,4.857,1.791,35,5.257,1.051,35,4.029,0.941,35,4,0.862,35
mean (intend),4,4.229,2.368,35,4.143,1.693,35,6.143,2.18,35,2.806,1.68,36,2.559,1.834,34,6.265,1.357,34,3.371,1.838,35,4.389,1.496,36,4.194,1.15,36
mean (nasty),4,5.455,2.203,33,1.625,0.74,32,4.727,2.365,33,2.909,1.19,33,3.879,1.935,33,6.094,1.308,32,2.364,0.846,33,4.576,1.538,33,4.606,1.301,33
mean (stingy),4,4.061,2.242,33,2.094,0.765,32,3.818,1.678,33,2.97,1.586,33,3.75,2.151,32,5.235,1.535,34,3.727,1.42,33,3.531,1.62,32,5.061,1.043,33
medium (intermediate),6,3.727,1.78,33,5.029,0.774,35,5.121,0.879,33,3.219,1.243,32,2.788,1.43,33,5.344,1.632,32,3.529,1.377,34,3.912,0.612,34,3.912,0.853,34
medium (spiritualist),6,4.333,2.265,33,4.909,1.505,33,4.406,1.674,32,3.818,2.096,33,4.515,1.971,33,3.849,2.032,33,6.029,1.071,34,3.613,1.496,31,3,1.394,35
might (possibly),5,4.229,1.658,35,4.971,1.159,35,4.714,1.936,35,2.118,0.993,34,2.182,1.29,33,6.333,0.974,33,2.914,0.937,35,3.4,1.497,35,3.853,1.088,34
might (strength),5,6.188,1.96,32,7.206,1.079,34,7.375,2.103,32,4,1.518,33,4.455,1.578,33,4.794,1.811,34,4.765,1.33,34,5.813,1.21,32,6.061,0.919,33
mint (food),4,4.5,2.23,36,5.657,0.826,35,5.706,1.425,34,6.486,0.906,35,6.294,0.925,34,5.727,1.638,33,3.25,1.588,36,2.314,1.347,35,3.543,0.805,35
mint (money),4,5.71,2.113,31,6.424,1.436,33,6.219,2.011,32,4.879,1.552,33,4.867,2.029,30,4.188,1.878,32,5.938,0.933,32,4.594,1.656,32,4.788,1.008,33
minute (small),6,3.667,1.7,33,4.677,1.13,34,3.818,1.783,33,4.086,1.73,35,4.618,2.015,34,4.794,1.659,34,4.686,1.41,35,1.364,0.881,33,3.257,0.936,35
minute (time),6,4.031,1.61,32,5.156,0.87,32,4.5,1.937,32,4.152,2.032,33,4,1.803,32,6.531,0.935,32,2.364,0.915,33,2.469,1.5,32,3.788,0.537,33
mole (animal),4,3.086,1.73,35,5.314,1.347,35,4.514,1.381,35,6.677,0.674,34,6.543,0.805,35,4.412,2.045,34,3.118,1.157,34,2.4,0.932,35,4.771,0.796,35
mole (skin),4,3,2.028,35,4.206,1.231,34,4.412,1.331,34,6.171,1.159,35,6.086,1.156,35,5.177,1.963,34,4.057,1.413,35,2.088,1.269,34,4.143,1.355,35
mole (spy),4,4.844,2.002,32,3.258,1.414,31,4.677,1.673,31,4.484,1.584,31,4.516,1.882,31,3.313,1.685,32,5.235,1.592,34,3.394,1.808,33,5.273,1.023,33
mug (cup),3,3.375,1.916,32,5.647,0.904,34,5.912,1.597,34,6.794,0.472,34,6.735,0.779,34,6.412,0.943,34,2.471,0.882,34,2.441,1.31,34,4.088,1.292,34
mug (face),3,3.6,1.642,35,4.647,1.551,34,5.229,1.774,35,5.771,1.436,35,5.8,1.305,35,4.735,1.72,34,4.5,1.266,34,3.457,1.401,35,4.914,1.296,35
mushroom (expand),8,3.5,2.016,32,4.8,1.47,30,5.267,1.459,30,4.167,2.146,30,4.774,1.791,31,3.333,1.995,33,5.419,1.498,31,4.8,1.956,30,4.161,0.883,31
mushroom (food),8,3.353,1.998,34,5.029,1.594,35,5.088,1.422,34,6.6,0.8,35,6.529,1.194,34,5.606,1.669,33,2.657,0.984,35,2.657,1.655,35,4.059,1.136,34
nail (finger),4,3.618,2.044,34,5.257,0.648,35,5.257,1.421,35,6.618,0.595,34,6.686,0.666,35,6.314,0.949,35,2.2,0.786,35,2.118,1.51,34,2.529,1.091,34
nail (hammer),4,4.333,2.01,33,4.765,0.842,34,5.939,1.774,33,6.559,0.881,34,6.667,0.943,33,5.765,1.477,34,3.294,0.925,34,1.971,1.424,34,5.824,0.857,34
novel (book),5,5.088,2.201,34,6.118,1.586,34,5.343,1.585,35,6.182,1.381,33,6.314,1.09,35,6.333,1.005,33,3.886,1.45,35,3.235,1.664,34,3.177,1.097,34
novel (new),5,5.353,2.208,34,6.242,1.016,33,5.559,1.594,34,3.265,1.72,34,2.758,1.759,33,3.788,1.887,33,6.382,0.875,34,4.353,1.412,34,3.273,1.081,33
nut (bolt),3,3,1.799,34,4.794,0.867,34,4.971,1.295,34,6.353,0.936,34,6.242,1.129,33,4.618,1.971,34,4.029,1.445,34,1.697,0.904,33,5.667,1.005,33
nut (crazy person),3,5.794,2.324,34,2.853,1.478,34,4.324,2.232,34,2.697,1.784,33,4.457,1.826,35,4.969,1.794,32,4.514,1.251,35,4.412,1.286,34,4.485,1.048,33
nut (food),3,3.875,2.088,32,5.697,1.337,33,6,1.59,34,6.406,1.343,32,6.758,0.74,33,6.441,0.914,34,2.171,0.774,35,2.147,1.537,34,4,0.954,33
nuts (bolts),4,3.429,1.825,35,4.853,0.692,34,5.4,1.101,35,6.429,0.935,35,6.4,0.932,35,4.514,1.903,35,4.171,1.363,35,1.657,0.674,35,5.8,1.09,35
nuts (crazy),4,5.971,1.949,35,3.314,1.582,35,3.886,2.188,35,2.543,1.421,35,4.229,2.085,35,5.059,1.514,34,3.857,1.417,35,4.441,1.612,34,3.629,1.173,35
nuts (food),4,3.818,2.328,33,6.094,1.259,32,5.406,1.296,32,6.667,0.636,33,6.667,0.682,33,6.212,0.977,33,2.303,0.834,33,2.063,1.58,32,4.394,1.179,33
nuts (testicles),4,5.714,1.994,35,4.743,1.203,35,5.686,1.953,35,6.486,0.906,35,6.429,0.965,35,5.486,1.422,35,5.647,1.16,34,2.914,1.461,35,6.857,0.542,35
object (disagree),6,4.912,2.049,34,3.265,1.244,34,6.206,2.026,34,2.677,0.865,34,3.029,1.524,34,5.059,1.748,34,5.177,1.175,34,4.765,1.113,34,4.794,1.079,34
object (thing),6,3.118,1.762,34,5.057,0.41,35,5.686,1.508,35,6.177,1.07,34,5.265,2.146,34,5.971,1.524,34,2.765,1.285,34,3.457,1.38,35,3.882,0.9,34
orange (colour),6,5.735,2.355,34,6.171,1.298,35,5.543,1.179,35,5.714,1.541,35,6.824,0.452,34,6.382,1,34,1.882,0.718,34,4.029,1.465,34,3.571,1.154,35
orange (fruit),6,4.412,1.865,34,6.143,1.199,35,5.4,1.247,35,6.657,0.924,35,6.886,0.666,35,6.485,0.925,33,1.886,0.708,35,2.343,1.068,35,3.714,0.973,35
organ (liver),5,3.706,1.903,34,5.471,1.595,34,5.324,1.744,34,6.647,0.636,34,6.152,1.351,33,5.774,1.58,31,4.485,1.019,33,3.818,1.604,33,4.559,0.914,34
organ (piano),5,4.794,2.026,34,5.714,1.322,35,5.781,1.536,32,6.314,0.887,35,6.618,0.875,34,4.938,1.56,32,4.177,1.339,34,5.029,1.715,35,3.853,1.417,34
over (above),4,4.152,2.311,33,5.939,1.179,33,6.758,1.349,33,3.939,1.705,33,4.152,1.777,33,6.156,1.349,32,2.849,1.282,33,4.906,1.308,32,4.091,0.996,33
over (cricket),4,2.414,1.498,29,5,0.577,30,5,1.259,29,3.821,1.983,28,3.241,1.942,29,1.857,1.397,35,6.222,0.994,27,3.241,1.222,29,5.094,1.128,32
over (finished),4,3.765,2.059,34,4.324,2.152,34,4.714,2.397,35,3.794,1.811,34,2.914,1.519,35,6.182,1.192,33,3,1.35,34,4.294,1.404,34,4.5,0.978,34
pack (fill),4,3.606,1.825,33,5,0.853,33,5.265,1.379,34,4.824,1.361,34,4.364,1.389,33,5.25,1.436,32,3.177,1.2,34,3.912,1.483,34,4.324,0.629,34
pack (group),4,4.143,2.282,35,5.314,1.43,35,4.941,2.612,34,5,1.549,35,4.824,1.671,34,4.667,1.837,33,4.2,1.41,35,5.382,1.394,34,5.257,1.227,35
page (call),4,3.281,2.035,32,4.735,1.146,34,5.515,1.794,33,4.206,1.952,34,3.971,1.757,34,3.727,1.895,33,5.794,1.278,34,2.719,1.231,32,3.882,1.078,34
page (paper),4,3.063,1.968,32,5.5,1.25,32,5.355,1.714,31,6.5,0.866,32,6.242,1.181,33,6.281,1.179,32,2.323,0.819,31,3,1.481,31,3.758,0.818,33
page (ward),4,3.04,1.509,25,4.962,0.587,26,4.696,1.159,23,4.917,1.256,24,4.192,1.882,26,2.714,1.906,35,5.455,1.725,22,3.539,1.216,26,4.04,0.916,25
pan (camera),3,4.516,2.298,31,5.323,0.857,31,5.719,1.546,32,4.871,1.773,31,5.094,2.052,32,4,2,35,5.931,1.258,29,3.677,1.767,31,4.25,0.901,32
pan (criticise),3,4.143,2.489,28,2.433,1.146,30,4.2,2.386,30,2.655,1.026,29,2.733,1.769,30,2.743,2.019,35,6.035,1.066,29,4.179,1.605,28,3.63,1.444,27
pan (pot),3,2.788,2.114,33,5.219,0.892,32,5.606,1.434,33,6.576,0.78,33,6.697,0.674,33,6.25,1.392,32,2.125,0.74,32,2.939,1.455,33,3.424,1.349,33
park (car),4,2.936,1.366,31,4.903,1.228,31,5.594,1.765,32,5.406,1.389,32,5.613,1.384,31,6.207,1.27,29,3.03,1.141,33,3.688,1.333,32,4.563,0.747,32
park (public land),4,5.057,1.851,35,6.543,1.518,35,5.429,1.841,35,6.5,0.606,34,6.588,0.772,34,6.294,1.016,34,2.257,0.84,35,5.8,1.141,35,4.114,0.747,35
part (divide),4,4.125,1.933,32,4.212,1.174,33,4.618,1.609,34,3.567,1.585,30,4.229,1.742,35,4.938,1.767,32,4.057,1.372,35,3.424,1.28,33,3.939,0.6,33
part (portion),4,3.656,1.471,32,4.849,1.184,33,4.697,2.007,33,4.5,1.581,32,4.912,1.755,34,5.515,1.743,33,3.147,1.629,34,2.688,1.158,32,4.059,1.027,34
party (celebration),5,7.559,1.594,34,8.147,0.944,34,6.543,1.794,35,5.606,1.536,33,6.303,0.674,33,6.333,1.47,33,2.343,1.17,35,5.333,1.428,33,3.606,0.919,33
party (group),5,6.063,2.076,32,6.457,1.461,35,5.324,1.778,34,5.514,1.204,35,5.8,0.821,35,5.588,1.629,34,3.486,1.422,35,5.057,1.33,35,3.914,0.692,35
pass (move past),4,4,1.773,35,5.143,0.99,35,5.714,1.683,35,4.086,1.645,35,4.343,1.453,35,5.571,1.379,35,3.2,1.19,35,3.618,1.261,34,3.886,1.063,35
pass (permission),4,3.818,2.167,33,6.242,1.256,33,4.182,2.139,33,3.97,1.446,33,3,1.706,33,5.313,1.758,32,4.03,1.291,33,4.061,1.301,33,3.697,1.167,33
pass (route),4,3.143,1.869,35,5.235,0.689,34,5.514,1.481,35,4.914,1.556,35,4.382,1.766,34,4.171,1.844,35,4.057,1.53,35,3.588,1.375,34,4.286,0.7,35
patch (area),5,2.912,1.502,34,4.909,0.712,33,5.118,1.231,34,5.147,1.611,34,4.943,1.912,35,4.559,1.769,34,3.743,1.36,35,3.294,1.544,34,4.088,0.658,34
patch (repair),5,3.647,1.813,34,6.177,1.339,34,5.647,1.643,34,5.059,1.282,34,5.344,1.337,32,4.531,1.541,32,4.412,1.191,34,3.059,1.454,34,4.441,1.594,34
patient (medical),7,4.324,1.874,34,4.333,0.974,33,3.529,1.929,34,5.886,1.282,35,5.5,1.399,34,5.677,1.567,34,3.971,1.424,35,4.206,1.43,34,4.029,1.071,34
patient (tolerant),7,3.941,1.846,34,7.029,1.543,34,4.941,2.437,34,2.743,1.338,35,2.971,1.465,34,6.118,1.278,34,4.114,1.508,35,4.514,1.422,35,3,1.309,35
peer (colleague),4,4.719,1.754,32,5.909,0.9,33,5.212,1.572,33,5.636,1.534,33,5.4,1.583,30,5.406,1.476,32,5.677,1.049,34,3.844,1.064,32,3.939,0.851,33
peer (look),4,4.559,1.928,34,5.265,0.885,34,5.114,1.753,35,3.882,1.694,34,4.294,1.69,34,4.485,1.76,33,4.257,1.537,35,2.971,1.464,35,3.677,0.756,34
pen (cage),3,3.313,1.81,32,4,1.436,33,3.486,1.795,35,5.914,1.519,35,5.765,1.496,34,4.265,2.005,34,4.029,1.689,34,2.469,1.457,32,4.303,0.834,33
pen (ink),3,3.941,1.939,34,5.429,1.022,35,5.571,2.346,35,6.324,1.021,34,6.088,1.56,34,6.677,0.674,34,2.371,0.831,35,2.057,1.17,35,4.486,1.105,35
pepper (black),6,3.941,1.999,34,5.171,1.055,35,5.471,1.5,34,6.5,1.091,34,6.371,1.267,35,6.03,1.381,33,3.882,1.231,34,2.091,1.485,33,5.143,1.073,35
pepper (lightly cover),6,3.849,1.893,33,5.455,0.856,33,5.438,1.435,32,4.469,1.62,32,5,1.537,33,3.939,1.938,33,5.088,1.721,34,2.31,1.178,29,3.613,0.868,31
pepper (vegetable),6,3.457,1.918,35,5.457,1.078,35,5.229,1.623,35,6.588,0.772,34,6.818,0.575,33,6.281,1.068,32,3.657,1.453,35,2.455,1.328,33,3.765,0.769,34
periodical (intermittent),10,3.31,1.235,29,5.161,0.846,31,4.172,1.533,29,2.931,1.388,29,2.531,1.803,32,3.882,2.233,34,6.364,1.039,33,3.867,1.147,30,4.226,1.156,31
periodical (newspaper),10,3.355,1.752,31,5.267,0.772,30,4.733,1.731,30,5.793,1.448,29,5.167,2.083,30,2.939,1.89,33,6.242,1.207,33,4.233,1.334,30,4.931,0.98,29
pickle (difficulty),6,4.188,1.828,32,3.121,1.409,33,3.875,1.9,32,2.97,1.487,33,3.063,1.919,32,4.364,1.982,33,4.242,1.156,33,3.781,1.653,32,3.781,0.819,32
pickle (preserve),6,3.235,1.783,34,5.152,1.048,33,5.156,1.149,32,5.576,1.415,33,4.849,1.877,33,3.941,1.748,34,4.559,1.418,34,2.364,1.202,33,3.941,1.056,34
pine (long for),4,5.485,2.176,33,3.818,1.403,33,3.514,1.713,35,2.303,1.642,33,3.485,2.134,33,4.406,2.134,32,5.735,1.22,34,5,1.614,33,3.091,1.288,33
pine (tree/wood),4,3.97,1.915,33,5.606,1.013,33,5.647,1.625,34,6.516,0.875,31,6.485,0.821,33,4.938,1.936,32,4,1.475,34,4.758,2.045,33,4.529,1.194,34
pint (beer),4,4.829,2.478,35,5.743,1.592,35,5.471,1.786,34,6.794,0.53,34,6.906,0.292,32,6.394,0.814,33,5.118,1.345,34,3.273,1.441,33,5.758,1.129,33
pint (volume),4,4.606,1.969,33,5.514,1.156,35,5.147,1.593,34,5.943,1.264,35,5.829,1.32,35,6.059,1.235,34,4.829,1.594,35,3.6,1.292,35,5.441,1.09,34
pipe (tobacco),4,3.625,2.355,32,4.03,1.732,33,5.121,1.754,33,6.576,0.78,33,6.576,0.78,33,4.969,2.158,32,4.455,1.539,33,2.939,1.476,33,5.909,0.933,33
pipe (water),4,2.6,1.711,35,5.118,0.758,34,4.857,1.175,35,6.529,0.776,34,6.171,1.108,35,5.114,1.652,35,3.343,0.754,35,3.457,1.295,35,4.457,0.966,35
pitch (field of play),5,3.849,2.217,33,5.629,1.221,35,5.818,1.527,33,6.063,0.998,32,6.143,1.15,35,5.371,1.742,35,3.486,0.996,35,5.152,1.617,33,5.714,1.002,35
pitch (musical),5,5.528,2.267,36,5.75,1.211,36,5.091,2.123,33,3.829,1.682,35,2.912,2.133,34,5.382,1.799,34,4.861,1.357,36,4.088,1.616,34,2.806,1.15,36
pitch (tar),5,3.379,1.77,29,4.333,1.193,30,4.7,0.971,30,5.3,1.636,30,4.367,2.168,30,2.871,1.601,31,5.419,1.454,31,4,1.597,29,4.828,1.019,29
pitch (throw),5,4.485,1.861,33,5.273,0.962,33,6.03,1.547,33,4.882,1.676,34,5.588,1.353,34,4.424,1.955,33,4.849,1.438,33,4.061,1.254,33,5.059,0.873,34
plane (aircraft),5,4.971,2.189,34,5.529,1.334,34,5.206,1.891,34,6.647,0.836,34,6.706,0.62,34,6.281,1.281,32,2.559,1.439,34,5.529,1.989,34,5,1.206,33
plane (surface),5,2.879,1.719,33,5.2,0.748,35,4.939,1.205,33,5.486,1.628,35,5.257,1.441,35,3.97,1.784,33,5,1.553,34,4.382,1.515,34,4.294,0.749,34
plane (wood),5,2.909,1.525,33,5.273,0.75,33,5.455,0.924,33,6.086,1.105,35,5.455,1.157,33,3.912,2.005,34,5.118,1.567,34,3.177,1.382,34,4.909,0.9,33
plant (factory),5,3.242,1.892,33,4.286,1.343,35,4.618,1.456,34,6.281,1.007,32,6.143,1.291,35,4.324,2.068,34,5.118,1.367,34,5.5,1.736,34,5.143,1.073,35
plant (flower),5,4.324,1.981,34,6.5,1.091,34,4.906,1.548,32,6.242,1.457,33,6.546,0.856,33,6.29,1.113,31,2.353,1.432,34,2.912,1.337,34,2.471,1.218,34
plant (position),5,3.212,1.822,33,5.059,1.162,34,5.794,1.762,34,4.441,1.785,34,3.75,1.696,32,3.727,2.004,33,4.382,1.572,34,3.484,1.241,31,4.029,1.248,34
plaster (bandage),7,3.697,2.081,33,4.314,1.545,35,4.265,1.754,34,6.364,1.096,33,6.5,0.814,34,6.258,1.135,31,2.343,0.86,35,2.588,1.593,34,3.853,0.944,34
plaster (wall),7,2.647,1.696,34,5.091,0.9,33,5.2,1.849,35,5.941,1.413,34,6.061,1.278,33,5.515,1.617,33,4.147,1.574,34,3.765,1.628,34,5.543,1.104,35
play (game),4,6.188,1.758,32,6.618,1.329,34,6.273,1.238,33,4.441,1.557,34,5.206,1.41,34,6.515,0.892,33,1.706,1.072,34,4.324,1.254,34,4.147,1.088,34
play (stage performance),4,5.857,1.915,35,6.735,1.196,34,5.629,1.64,35,5.471,1.46,34,6.364,0.771,33,6.091,0.965,33,3.371,1.267,35,4.758,1.615,33,3.059,1.056,34
plot (conspiracy),4,6.647,1.57,34,2.912,1.358,34,3.969,2.284,32,3.324,1.843,34,3.5,1.753,34,5.147,1.833,34,5,1.213,34,5.438,1.456,32,4.879,1.037,33
plot (graph),4,3.059,1.714,34,5.294,0.892,34,5.656,1.513,32,5,1.498,33,5.706,1.226,34,5.061,1.632,33,4.943,1.194,35,3.412,1.353,34,4.559,0.811,34
plot (land),4,3.294,1.6,34,5.091,0.996,33,5.242,1.741,33,6.091,0.996,33,5.867,0.884,30,4.818,1.8,33,4.559,1.034,34,5.125,1.192,32,4.636,0.948,33
plot (story),4,4.882,1.967,34,5.727,0.993,33,5.286,1.322,35,3.941,1.893,34,3.382,1.925,34,5.548,1.214,31,4.2,1.305,35,4.394,1.575,33,3.818,0.936,33
plug (blockage),4,2.588,1.593,34,3.879,1.387,33,4.206,1.324,34,5.618,1.394,34,5.912,1.197,34,4.912,1.946,34,4.471,1.631,34,3.029,1.445,34,4.882,0.963,34
plug (electric),4,2.765,1.767,34,5.324,0.83,34,5.667,1.318,33,6.457,0.966,35,6.618,0.728,34,6.029,0.954,34,2.794,1.301,34,2.4,1.269,35,4.971,0.923,34
poach (cook),5,3.457,1.962,35,5.343,0.86,35,5.333,1.428,33,5.333,1.45,33,5.182,1.641,33,4.171,1.748,35,5.514,1.156,35,2.914,1.204,35,3.576,0.818,33
poach (hunt),5,4.656,2.3,32,2.829,1.54,35,5.438,2.193,32,4.853,1.438,34,4.727,1.763,33,3.212,1.855,33,5.343,1.241,35,4.531,1.479,32,5.849,0.925,33
point (argument),5,5.485,2.258,33,4.455,1.742,33,6.5,2.09,34,2.758,1.415,33,3.094,1.739,32,5.839,1.247,31,4.324,1.366,34,4.485,1.438,33,4.206,1.586,34
point (finger),5,4.849,1.617,33,3.941,1.235,34,5.971,2.294,34,5.206,1.255,34,5.912,1.067,34,5.781,1.023,32,2.059,0.968,34,2.625,1.364,32,4.382,1.515,34
point (location),5,4.559,2.075,34,5.364,0.881,33,4.941,1.552,34,5.235,1.554,34,4.114,1.817,35,5.242,1.724,33,4.029,1.248,34,3.606,1.722,33,4.286,0.813,35
poker (cards),5,5.314,2.148,35,4.886,1.652,35,5.4,1.885,35,5.857,1.312,35,6.543,0.84,35,5,1.789,35,5.143,1.125,35,3.441,1.63,34,5.735,1.12,34
poker (rod),5,4.625,2.472,32,3.938,1.248,32,5.031,1.723,32,6.156,1.176,32,6.161,1.298,31,4.091,1.881,33,4.719,1.256,32,3.563,1.499,32,5.313,0.882,32
pool (billiards),4,4.25,2.194,32,5.714,1.232,35,5.546,1.689,33,6.294,0.892,34,6.265,0.949,34,4.882,1.778,34,4.424,1.498,33,3.529,1.334,34,5.206,1.301,34
pool (shared),4,3.353,1.78,34,5.394,0.983,33,4.677,1.23,34,4.121,1.513,33,4.088,1.853,34,4.125,1.816,32,4.618,1.435,34,3.853,1.629,34,4.182,0.796,33
pool (water),4,5.629,1.868,35,6.114,1.036,35,5.118,1.728,34,6.091,1.026,33,6.677,0.794,34,6.394,0.851,33,2.429,0.994,35,4.647,1.303,34,3.371,0.988,35
port (harbour),4,3.546,2.031,33,5.546,0.956,33,4.969,0.918,32,6.364,0.915,33,5.886,1.326,35,4.406,1.674,32,4.177,1.403,34,4.971,1.581,34,4.788,1.148,33
port (wine),4,5.059,2.155,34,5.971,1.524,34,5.824,1.382,34,6.125,0.992,32,6.088,1.56,34,4.656,1.898,32,6.177,1.07,34,3.353,1.57,34,3.971,1.464,35
post (mail),4,3.824,2.307,34,5.758,1.074,33,4.906,1.627,32,6.147,0.944,34,6.265,0.98,34,6.294,1.296,34,3.029,1.483,35,3.182,1.445,33,4.647,1.234,34
post (pole),4,3.794,1.795,34,5.029,0.664,34,5.452,1.187,31,6.097,1.304,31,6.219,1.218,32,5.219,1.386,32,3.588,1.555,34,3.394,1.613,33,4.636,0.846,33
post (position),4,3.912,1.946,34,5.441,0.945,34,5.774,1.827,31,4.412,1.801,34,3.057,1.835,35,4.457,1.713,35,5.314,1.214,35,4.2,1.283,35,4.618,0.908,34
pot (drugs),3,5,2.318,32,4,2.074,33,4.531,2.385,32,5.688,1.379,32,5.938,1.298,32,5.061,1.825,33,6.485,0.702,33,3.781,1.866,32,5.091,0.866,33
pot (pan),3,2.429,1.358,35,5.212,0.477,33,5.429,0.965,35,6.514,0.806,35,6.371,0.929,35,6.257,1.051,35,2.743,1.179,35,2.441,1.143,34,3.647,1.348,34
pound (dogs),5,4.03,2.037,33,4.219,1.615,32,4.029,1.543,34,6.177,0.984,34,5.606,1.347,33,4.118,2.026,34,4.412,1.417,34,3.455,1.539,33,4.636,1.123,33
pound (hammer),5,5.257,2.59,35,4.286,1.446,35,6.343,2.242,35,4.677,1.604,34,5.5,1.5,34,4.882,1.586,34,4.543,1.401,35,4.177,1.774,34,5.686,1.326,35
pound (money),5,4.576,2.4,33,6.375,1.556,32,4.906,2.156,32,6.484,0.713,31,6.5,0.901,32,6.586,1.001,29,2.576,1.371,33,3.719,1.841,32,4.531,1.172,32
pound (weight),5,3.353,1.829,34,4.882,1.182,34,5.514,1.948,35,4.824,1.977,34,4.114,1.894,35,5.353,1.607,34,4.343,1.53,35,3.629,1.884,35,4.229,1.221,35
present (gift),7,6.636,1.72,33,7.686,1.237,35,5.667,1.837,33,6.118,0.963,34,6.343,0.826,35,5.829,1.521,35,2.143,1.046,35,4.333,1.146,33,3.353,1.16,34
present (show),7,5.206,2.435,34,6.4,1.292,35,6.382,1.956,34,3.912,1.634,34,4.515,1.94,33,5.656,1.813,32,3.886,1.563,35,5.091,1.505,33,3.914,1.079,35
prick (dick),5,5.121,2.826,33,3.088,1.805,34,4.879,1.981,33,4.571,2.259,35,5.206,1.997,34,4.4,2.031,35,6.294,1.201,34,3.543,1.794,35,6.588,0.772,34
prick (stab),5,4.697,2.153,33,3.242,1.129,33,4.543,1.872,35,4.8,1.489,35,4.647,1.625,34,4.719,1.858,32,4.171,1.383,35,2.686,1.45,35,5.177,0.984,34
